Event,Info
Farmer's Walk,150 kg / 40 meters / No drops 
 Max Deadlift,18-inch deadlift 
 Log Medley,5 implements / 120 to 200 kg 
 Flag Hoist,5 implements / 275 to 375 kg 
 Atlas Stones,5 implements / 115 to 175 kg
