,#,Competitor,Country,TOT. PTS,Medley,Pts,Fridge Carry,Pts,Deadlift,Pts,Squat Lift,Pts,Safe Lift,Pts,Truck Pull,Pts,Loading Race,Pts,Atlas Stones,Pts
0,1,V. Virastyuk,UKR,37,29.43 s,6,15.03 s,6,6 in 70.89 s,3,6 in 29.72 s,5,13 in 74.95 s,4,39.90 s,4,66.65 s,4,5 in 27.43 s,5
1,2,Ž. Savickas,LTU,36,35.03 s,4,20.80 s,4,7 in 40.92 s,4,7 in 33.13 s,6,14 in 69.23 s,6,39.16 s,5,66.93 s,3,5 in 32.32 s,4
2,3,M. Samuelsson,SWE,29,32.34 s,5,14.9 m,1,1 in 27.99 s,1,2 in 10.67 s,2,13 in 74.80 s,5,36.53 s,6,59.71 s,6,5 in 43.77 s,3
3,4,R. Bergmanis,LAT,19,42.37 s,2,44.12 s,2,9 in 56.99 s,5,5 in 30.82 s,3,5 in 29.58 s,1,43.59 s,2,24.1 m,2,4 in 31.89 s,2
4,5,S. Karlsen,NOR,9,44.56 s,1,24.37 s,3,5 in 51.30 s,2,1 in 3.43 s,1,7 in 48.80 s,2,Withdrew,0,Withdrew,0,Withdrew,0
5,6,M. Pudzianowski,POL,DQ,35.56 s,3,16.30 s,5,10 in 73.74 s,6,5 in 24.38 s,4,11 in 56.42 s,3,41.43 s,3,66.04 s,5,5 in 27.13 s,6
